Version	2	Start	1459535196.169
Time	Valor
V	74	?
0.301	269
0.365	173
0.451	91
0.481	91
0.543	43
0.571	43
0.629	41
0.869	41
0.931	42
1.080	153
1.142	174
1.174	249
1.203	276
1.263	350
1.323	364
1.441	398
1.473	397
1.531	397
1.590	399
1.621	397
1.681	396
1.742	393
1.802	395
1.890	398
1.894	397
1.925	277
1.956	268
2.013	175
2.072	166
2.100	168
2.132	91
2.281	43
2.341	41
2.523	41
2.560	42
2.729	41
2.790	41
2.849	174
2.880	277
2.969	350
3.029	350
3.062	397
3.210	397
3.272	398
3.362	399
3.391	397
3.572	397
3.634	395
3.691	269
3.722	173
3.899	50
3.929	45
3.961	43
4.020	41
4.081	41
4.173	42
4.231	42
4.260	41
4.380	41
4.410	42
4.469	42
4.590	185
4.683	348
4.744	348
5.011	397
5.042	399
5.100	397
5.132	395
5.194	397
5.282	397
5.345	291
5.404	269
5.492	169
5.580	92
5.700	43
5.851	41
6.094	41
6.211	47
6.269	173
6.363	277
6.454	393
6.511	397
6.570	399
6.659	400
6.720	399
6.752	400
6.900	395
7.049	277
7.112	269
7.170	170
7.262	91
7.292	89
7.529	472
7.800	472
7.983	42
8.100	42
8.165	41
8.405	41
8.433	91
8.490	173
8.551	276
8.669	349
8.730	395
8.764	397
9.091	397
9.181	394
9.270	393
9.304	269
9.392	169
9.450	91
9.540	45
9.602	43
9.722	42
9.780	42
9.840	41
9.901	472
9.963	472
10.172	470
10.232	471
10.350	471
10.472	42
10.591	41
10.623	41
10.740	174
10.747	181
10.800	276
10.860	350
10.919	391
10.979	395
11.071	399
11.131	397
11.190	398
11.250	394
11.340	394
11.461	397
11.522	270
11.580	261
11.612	195
11.702	91
11.821	43
11.882	42
11.940	42
11.970	41
12.002	42
12.089	42
12.149	41
12.270	41
12.391	173
12.420	174
12.451	182
12.540	295
12.633	397
12.691	397
12.780	396
12.843	397
12.901	398
13.055	394
13.111	398
13.171	394
13.231	270
13.296	172
13.381	168
13.441	91
13.447	91
13.504	43
13.591	41
14.041	41
14.131	187
14.190	277
14.251	350
14.315	389
14.373	397
14.460	398
14.554	396
14.580	397
14.613	397
14.672	395
14.766	395
14.825	393
14.855	398
14.974	269
15.030	174
15.122	91
15.180	92
15.270	43
15.277	43
15.303	41
15.630	41
15.756	856
15.811	856
15.875	855
16.201	855
16.232	854
17.249	854
17.287	853
17.369	854
17.490	853
18.301	853
18.363	852
18.749	852
18.901	853
18.933	852
19.140	852
19.259	851
19.319	852
19.384	852
19.477	851
19.622	851
19.681	852
19.774	851
19.860	852
19.918	851
21.421	851
21.629	850
21.872	850
21.992	851
22.023	850
23.399	850
23.402	849
23.492	850
23.670	850
23.703	849
23.819	850
23.890	849
29.759	849
29.818	848
29.939	849
30.000	849
30.090	848
31.716	848
31.717	847
31.799	848
33.153	848
33.183	847
33.209	847
33.299	848
33.362	847
33.390	847
33.420	848
33.630	847
33.811	847
33.871	848
34.020	848
34.109	847
34.168	847
34.291	848
34.379	847
35.132	847
35.221	848
35.281	847
35.586	847
35.792	41
35.854	42
35.939	41
36.665	41
36.809	849
37.139	849
37.171	848
38.042	848
38.221	847
38.494	847
38.549	846
38.695	847
38.938	847
38.941	846
38.968	847
39.510	847
39.543	846
39.570	847
40.289	847
40.380	846
40.530	847
40.562	847
40.625	846
42.660	846
42.720	845
42.780	846
42.964	846
42.992	845
43.022	846
43.265	846
43.322	845
43.389	846
43.440	845
43.721	845
43.861	846
43.892	845
43.934	846
43.986	846
44.049	845
44.107	846
44.222	845
44.493	845
44.523	846
44.593	845
46.183	845
46.386	41
46.615	41
46.681	216
46.687	271
46.778	273
46.803	348
47.682	368
47.693	392
47.703	389
47.711	393
47.718	393
47.957	847
48.000	847
48.034	846
48.077	845
48.183	845
48.217	846
48.292	846
48.819	845
49.161	845
49.234	846
49.250	845
50.121	845
50.166	844
50.307	845
51.050	845
51.177	42
51.379	41
51.395	42
51.422	41
51.542	41
51.611	385
51.636	390
51.654	393
51.708	389
51.787	391
51.974	167
52.076	91
52.095	90
52.153	45
52.184	43
52.278	42
52.304	42
52.407	41
52.444	41
52.486	42
52.609	42
52.763	172
52.783	231
52.826	274
52.938	389
53.043	391
53.131	393
53.221	393
53.373	390
53.435	391
53.522	267
53.524	267
53.644	166
53.677	166
53.731	84
53.837	44
53.932	42
54.273	42
54.361	174
54.425	174
54.452	230
54.485	272
54.545	340
54.607	393
54.691	394
54.751	392
54.782	397
54.842	393
54.931	393
55.110	397
55.117	397
55.170	395
55.231	266
55.261	267
55.299	268
55.301	175
55.324	167
55.412	91
55.442	64
55.530	44
55.576	42
55.682	42
55.745	41
55.899	41
55.981	42
56.010	42
56.071	112
56.150	173
56.180	275
56.215	273
56.224	295
56.372	393
56.405	396
56.431	395
56.553	392
56.701	392
56.703	393
56.735	391
56.825	394
56.887	393
56.969	269
57.031	171
57.202	49
57.219	43
57.272	42
57.453	42
57.543	41
57.662	42
57.731	41
57.833	145
57.850	173
57.964	346
58.022	388
58.125	393
58.263	393
58.473	392
58.532	393
58.591	393
58.622	269
58.710	170
58.830	91
58.891	91
59.143	42
59.462	42
59.790	393
59.850	397
59.885	396
59.941	397
59.972	393
60.120	392
60.167	393
60.210	393
60.246	391
60.303	393
60.336	394
60.424	267
60.452	168
60.485	157
60.551	91
60.602	469
60.664	468
